  Words          P(PERSON)  P(O)   CLASS
----------------------------------------
  Vax             0.1322   0.8678   O
  Peter           0.7342   0.2658   PERSON
  :               0.0118   0.9882   O
  Prince          0.0097   0.9903   O
  Harry           0.5457   0.4543   PERSON
  makes           0.0118   0.9882   O
  vaccine         0.0031   0.9969   O
  plea            0.0031   0.9969   O
  at              0.0028   0.9972   O
  concert         0.0028   0.9972   O
  in              0.0028   0.9972   O
  LA              0.0223   0.9777   O
  .               0.0028   0.9972   O
  Prince          0.0097   0.9903   O
  Harry           0.5457   0.4543   PERSON
  spoke           0.0118   0.9882   O
  to              0.0028   0.9972   O
  a               0.0028   0.9972   O
  crowd           0.0118   0.9882   O
  of              0.0002   0.9998   O
  fully           0.0028   0.9972   O
  vaccinated      0.0031   0.9969   O
  guests          0.0028   0.9972   O
  at              0.0028   0.9972   O
  the             0.0002   0.9998   O
  Vax             0.1322   0.8678   O
  Live            0.1322   0.8678   O
  concert         0.0028   0.9972   O
  in              0.0118   0.9882   O
  Los             0.1065   0.8935   O
  Angeles         0.0924   0.9076   O
  .               0.0028   0.9972   O
  The             0.0028   0.9972   O
  Duke            0.5457   0.4543   PERSON
  of              0.0011   0.9989   O
  Sussex          0.1150   0.8850   O
  has             0.0028   0.9972   O
  called          0.0118   0.9882   O
  for             0.0028   0.9972   O
  vaccines        0.0031   0.9969   O
  to              0.0028   0.9972   O
  be              0.0028   0.9972   O
  ``              0.0031   0.9969   O
  distributed     0.0028   0.9972   O
  to              0.0028   0.9972   O
  everyone        0.0028   0.9972   O
  everywhere      0.0031   0.9969   O
  ''              0.0131   0.9869   O
  at              0.0028   0.9972   O
  a               0.0028   0.9972   O
  star-studded    0.0031   0.9969   O
  charity         0.0028   0.9972   O
  concert         0.0028   0.9972   O
  in              0.0028   0.9972   O
  Los             0.1065   0.8935   O
  Angeles         0.0924   0.9076   O
  .               0.0028   0.9972   O
  Prince          0.3248   0.6752   O
  Harry           0.5457   0.4543   PERSON
  appeared        0.0118   0.9882   O
  alongside       0.0028   0.9972   O
  dozens          0.0028   0.9972   O
  of              0.0011   0.9989   O
  celebrities     0.0031   0.9969   O
  at              0.0028   0.9972   O
  the             0.0002   0.9998   O
  Vax             0.1322   0.8678   O
  Live            0.1322   0.8678   O
  event           0.0028   0.9972   O
  ,               0.0028   0.9972   O
  a               0.0028   0.9972   O
  charity         0.0028   0.9972   O
  performance     0.0118   0.9882   O
  in              0.0028   0.9972   O
  aid             0.0028   0.9972   O
  of              0.0002   0.9998   O
  the             0.0002   0.9998   O
  international   0.0028   0.9972   O
  Covid           0.1322   0.8678   O
  vaccination     0.0031   0.9969   O
  effort          0.0028   0.9972   O
  .               0.0028   0.9972   O
  Hosted          0.0031   0.9969   O
  by              0.0028   0.9972   O
  the             0.0007   0.9993   O
  singer          0.0028   0.9972   O
  Selena          0.5457   0.4543   PERSON
  Gomez           0.8972   0.1028   PERSON
  ,               0.0028   0.9972   O
  the             0.0002   0.9998   O
  concert         0.0028   0.9972   O
  -               0.0028   0.9972   O
  to              0.0028   0.9972   O
  be              0.0028   0.9972   O
  aired           0.0031   0.9969   O
  on              0.0028   0.9972   O
  Saturday        0.1063   0.8937   O
  -               0.0118   0.9882   O
  featured        0.0028   0.9972   O
  performances    0.0028   0.9972   O
  from            0.0028   0.9972   O
  artists         0.0031   0.9969   O
  Jennifer        0.7342   0.2658   PERSON
  Lopez           0.6705   0.3295   PERSON
  and             0.0028   0.9972   O
  Foo             0.1322   0.8678   O
  Fighters        0.1322   0.8678   O
  .               0.0028   0.9972   O
  US              0.0224   0.9776   O
  President       0.1062   0.8938   O
  Joe             0.9101   0.0899   PERSON
  Biden           0.1322   0.8678   O
  also            0.0028   0.9972   O
  spoke           0.0118   0.9882   O
  .               0.0028   0.9972   O
  Addressing      0.0031   0.9969   O
  thousands       0.0028   0.9972   O
  of              0.0011   0.9989   O
  fully           0.0028   0.9972   O
  vaccinated      0.0031   0.9969   O
  guests          0.0118   0.9882   O
  at              0.0028   0.9972   O
  the             0.0002   0.9998   O
  SoFi            0.5457   0.4543   PERSON
  Stadium         0.1065   0.8935   O
  in              0.0028   0.9972   O
  Los             0.1065   0.8935   O
  Angeles         0.0924   0.9076   O
  ,               0.0028   0.9972   O
  Prince          0.3248   0.6752   O
  Harry           0.8375   0.1625   PERSON
  praised         0.0028   0.9972   O
  the             0.0002   0.9998   O
  efforts         0.0028   0.9972   O
  of              0.0002   0.9998   O
  front           0.0028   0.9972   O
  line            0.0028   0.9972   O
  workers         0.0028   0.9972   O
